accountsservice 23.13.9-2.1
alacritty 0.16.1-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.15.2-1.1
awesome-terminal-fonts 1.1.0-5
base 3-2
base-devel 1-2
bash-completion 2.17.0-3
bemenu 0.6.23-1.1
bemenu-wayland 0.6.23-1.1
bind 9.20.18-1.1
blueman 2.4.6-2.1
bluez 5.85-1.1
bluez-hid2hci 5.85-1.1
bluez-libs 5.85-1.1
bluez-utils 5.85-1.1
brightnessctl 0.5.1-3
btop 1.4.6-1.1
btrfs-assistant 2.2-4.1
btrfs-progs 6.17.1-2
cachyos-alacritty-config 1.0-1
cachyos-fish-config 15-1
cachyos-gaming-meta 1:1.0.0-6
cachyos-hello 0.19.2-1
cachyos-hooks 2025.09.22-1
cachyos-kde-settings 4.9-8
cachyos-kernel-manager 1.16.1-1.1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 22-1
cachyos-nord-gtk-theme-git r10.18b1535-1
cachyos-packageinstaller 1.5.1-2
cachyos-plymouth-bootanimation 2-1
cachyos-rate-mirrors 18-1
cachyos-settings 1:1.3.1-1
cachyos-snapper-support 1.0.2-1
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cantarell-fonts 1:0.311-1
capitaine-cursors 4-3
chromium 144.0.7559.109-1.1
chwd 1.18.0-3
cpupower 6.18-3
cryptsetup 2.8.4-1.1
cups 2:2.4.16-1
cups-filters 2.0.1-2.1
cups-pdf 3.0.2-1.5
device-mapper 2.03.38-1.1
dhclient 4.4.3.P1-4.1
diffutils 3.12-2.1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.92-1.1
dosfstools 4.2-5.1
dropbox 240.4.8609-1
duf 0.9.1-1.1
e2fsprogs 1.47.3-2.1
efibootmgr 18-3.1
efitools 1.9.2-6.1
egl-wayland 4:1.1.21-1.1
ethtool 1:6.15-1.1
ex-vi-compat 2-1
exfatprogs 1.3.1-1.1
f2fs-tools 1.16.0-3.1
fastfetch 2.58.0-1.1
ffmpegthumbnailer 2.3.0-1.1
firefox 147.0.2-1.1
foomatic-db 3:20251122-1
foomatic-db-engine 5:20200131-2.1
foomatic-db-gutenprint-ppds 5.3.5-1.1
foomatic-db-nonfree 3:20251122-1
foomatic-db-nonfree-ppds 3:20251122-1
foomatic-db-ppds 3:20251122-1
fsarchiver 0.8.8-1.1
ghostscript 10.06.0-1.1
gimp 3.0.8-2
git 2.52.0-2.1
github-cli 2.86.0-1.1
glances 4.4.1-3
gsfonts 20200910-6
gst-libav 1.26.10-4
gst-plugin-pipewire 1:1.4.10-1.1
gst-plugin-va 1.26.10-4
gst-plugins-bad 1.26.10-4
gst-plugins-ugly 1.26.10-4
gutenprint 5.3.5-1.1
haveged 1.9.19-1.1
